! <Zone Information>,Zone Name,North Axis {deg},Origin X-Coordinate {m},Origin Y-Coordinate {m},Origin Z-Coordinate {m},Centroid X-Coordinate {m},Centroid Y-Coordinate {m},Centroid Z-Coordinate {m},Type,Zone Multiplier,Zone List Multiplier,Minimum X {m},Maximum X {m},Minimum Y {m},Maximum Y {m},Minimum Z {m},Maximum Z {m},Ceiling Height {m},Volume {m3},Zone Inside Convection Algorithm {Simple-Detailed-CeilingDiffuser-TrombeWall},Zone Outside Convection Algorithm {Simple-Detailed-Tarp-MoWitt-DOE-2-BLAST},Floor Area {m2},Exterior Gross Wall Area {m2},Exterior Net Wall Area {m2},Exterior Window Area {m2},Number of Surfaces,Number of SubSurfaces,Number of Shading SubSurfaces,Part of Total Building Area
Zone Information,ER_EXAM3_MULT4_FLR_1,0.0,0.00,0.00,0.00,-6.86,67.06,2.13,1,4,1,-9.14,-4.57,64.01,70.10,0.00,4.27,4.27,118.96,TARP,TARP,27.87,19.51,17.56,0.00,6,1,0,Yes
Zone Information,ER_NURSESTN_LOBBY_FLR_1,0.0,0.00,0.00,0.00,-26.67,58.35,2.13,1,1,1,-48.77,-4.57,39.62,70.10,0.00,4.27,4.27,5273.95,TARP,TARP,1235.61,110.58,80.16,30.42,10,1,0,Yes
Zone Information,ER_TRAUMA1_FLR_1,0.0,0.00,0.00,0.00,-2.29,67.06,2.13,1,1,1,-4.57,4.29E-015,64.01,70.10,0.00,4.27,4.27,118.96,TARP,TARP,27.87,45.53,41.63,0.00,6,2,0,Yes
Zone Information,ER_TRAUMA2_FLR_1,0.0,0.00,0.00,0.00,-51.05,67.06,2.13,1,1,1,-53.34,-48.77,64.01,70.10,0.00,4.27,4.27,118.96,TARP,TARP,27.87,45.53,41.63,0.00,6,2,0,Yes
Zone Information,ER_TRIAGE_MULT4_FLR_1,0.0,0.00,0.00,0.00,-51.05,42.67,2.13,1,4,1,-53.34,-48.77,39.62,45.72,0.00,4.27,4.27,118.96,TARP,TARP,27.87,26.02,24.07,0.00,6,1,0,Yes
Zone Information,IC_PATROOM1_MULT5_FLR_2,0.0,0.00,0.00,0.00,-51.05,26.67,6.40,1,5,1,-53.34,-48.77,24.38,28.96,4.27,8.54,4.27,89.21,TARP,TARP,20.90,19.51,14.61,4.91,6,1,0,Yes
Zone Information,IC_PATROOM2_FLR_2,0.0,0.00,0.00,0.00,-51.05,3.05,6.40,1,1,1,-53.34,-48.77,2.99E-015,6.10,4.27,8.54,4.27,118.96,TARP,TARP,27.87,45.53,34.09,11.44,6,2,0,Yes
Zone Information,IC_PATROOM3_MULT6_FLR_2,0.0,0.00,0.00,0.00,-46.48,2.29,6.40,1,6,1,-48.77,-44.20,2.71E-015,4.57,4.27,8.54,4.27,89.21,TARP,TARP,20.90,19.51,14.61,4.91,6,1,0,Yes
Zone Information,ICU_FLR_2,0.0,0.00,0.00,0.00,-10.67,14.48,6.40,1,1,1,-21.34,1.77E-015,0.00,28.96,4.27,8.54,4.27,2637.63,TARP,TARP,617.96,214.68,189.65,25.03,6,1,0,Yes
Zone Information,ICU_NURSESTN_LOBBY_FLR_2,0.0,0.00,0.00,0.00,-35.05,16.76,6.40,1,1,1,-48.77,-21.34,4.57,28.96,4.27,8.54,4.27,2854.51,TARP,TARP,668.77,0.00,0.00,0.00,6,0,0,Yes
Zone Information,KITCHEN_FLR_5,0.0,0.00,0.00,0.00,-38.10,54.86,19.21,1,1,1,-53.34,-22.86,39.62,70.10,17.07,21.34,4.27,3965.37,TARP,TARP,929.03,260.20,260.20,0.00,7,0,0,Yes
Zone Information,LAB_FLR_3,0.0,0.00,0.00,0.00,-20.75,17.40,10.67,1,1,1,-33.58,-10.67,9.14,28.96,8.54,12.80,4.27,1129.43,TARP,TARP,264.77,0.00,0.00,0.00,8,0,0,Yes
Zone Information,LAB_FLR_4,0.0,0.00,0.00,0.00,-20.75,17.40,14.94,1,1,1,-33.58,-10.67,9.14,28.96,12.80,17.07,4.27,1129.43,TARP,TARP,264.77,0.00,0.00,0.00,8,0,0,Yes
Zone Information,LOBBY_RECORDS_FLR_1,0.0,0.00,0.00,0.00,-16.75,14.17,2.13,1,1,1,-53.34,1.77E-015,0.00,28.96,0.00,4.27,4.27,6294.92,TARP,TARP,1474.81,409.78,329.96,62.63,11,7,0,Yes
Zone Information,NURSESTN_LOBBY_FLR_3,0.0,0.00,0.00,0.00,-25.31,31.62,10.67,1,1,1,-42.67,-10.67,9.14,60.96,8.54,12.80,4.27,3866.25,TARP,TARP,905.80,0.00,0.00,0.00,12,0,0,Yes
Zone Information,NURSESTN_LOBBY_FLR_4,0.0,0.00,0.00,0.00,-25.31,31.62,14.94,1,1,1,-42.67,-10.67,9.14,60.96,12.80,17.07,4.27,3866.22,TARP,TARP,905.80,0.00,0.00,0.00,12,0,0,Yes
Zone Information,NURSESTN_LOBBY_FLR_5,0.0,0.00,0.00,0.00,-21.34,27.43,19.21,1,1,1,-42.67,2.43E-015,15.24,39.62,17.07,21.34,4.27,4441.23,TARP,TARP,1040.51,104.08,104.08,0.00,7,0,0,Yes
Zone Information,OFFICE1_FLR_5,0.0,0.00,0.00,0.00,-3.81,4.57,19.21,1,1,1,-7.62,5.60E-016,0.00,9.14,17.07,21.34,4.27,297.50,TARP,TARP,69.70,71.56,53.58,17.98,6,2,0,Yes
Zone Information,OFFICE1_MULT4_FLR_1,0.0,0.00,0.00,0.00,-2.29,7.62,2.13,1,5,1,-4.57,5.60E-016,6.10,9.14,0.00,4.27,4.27,59.50,TARP,TARP,13.94,13.01,10.05,2.96,6,1,0,Yes
Zone Information,OFFICE2_MULT5_FLR_5,0.0,0.00,0.00,0.00,-11.43,4.57,19.21,1,5,1,-15.24,-7.62,4.67E-016,9.14,17.07,21.34,4.27,297.41,TARP,TARP,69.68,32.52,24.34,8.17,6,1,0,Yes
Zone Information,OFFICE3_FLR_5,0.0,0.00,0.00,0.00,-49.53,4.57,19.21,1,1,1,-53.34,-45.72,2.80E-015,9.14,17.07,21.34,4.27,297.41,TARP,TARP,69.68,71.55,53.57,17.98,6,2,0,Yes
Zone Information,OFFICE4_MULT6_FLR_5,0.0,0.00,0.00,0.00,-51.05,10.67,19.21,1,6,1,-53.34,-48.77,9.14,12.19,17.07,21.34,4.27,59.50,TARP,TARP,13.94,13.01,10.05,2.96,6,1,0,Yes
Zone Information,OR1_FLR_2,0.0,0.00,0.00,0.00,-50.29,65.53,6.40,1,1,1,-53.34,-47.24,60.96,70.10,4.27,8.54,4.27,237.91,TARP,TARP,55.74,65.05,65.05,0.00,6,0,0,Yes
Zone Information,OR2_MULT5_FLR_2,0.0,0.00,0.00,0.00,-44.20,65.53,6.40,1,5,1,-47.24,-41.15,60.96,70.10,4.27,8.54,4.27,237.91,TARP,TARP,55.74,26.02,26.02,0.00,6,0,0,Yes
Zone Information,OR3_FLR_2,0.0,0.00,0.00,0.00,-50.29,44.20,6.40,1,1,1,-53.34,-47.24,39.62,48.77,4.27,8.54,4.27,237.91,TARP,TARP,55.74,39.03,39.03,0.00,6,0,0,Yes
Zone Information,OR4_FLR_2,0.0,0.00,0.00,0.00,-35.05,44.20,6.40,1,1,1,-47.24,-22.86,39.62,48.77,4.27,8.54,4.27,951.70,TARP,TARP,222.97,0.00,0.00,0.00,6,0,0,Yes
Zone Information,OR_NURSESTN_LOBBY_FLR_2,0.0,0.00,0.00,0.00,-23.18,54.78,6.40,1,1,1,-53.34,4.29E-015,39.62,70.10,4.27,8.54,4.27,4322.24,TARP,TARP,1012.64,182.14,146.37,35.76,10,1,0,Yes
Zone Information,PATROOM1_MULT10_FLR_3,0.0,0.00,0.00,0.00,-2.29,41.91,10.67,1,10,1,-4.57,2.71E-015,39.62,44.20,8.54,12.80,4.27,89.21,TARP,TARP,20.90,19.51,14.61,4.91,6,1,0,Yes
Zone Information,PATROOM1_MULT10_FLR_4,0.0,0.00,0.00,0.00,-2.29,41.91,14.94,1,10,1,-4.57,2.71E-015,39.62,44.20,12.80,17.07,4.27,89.21,TARP,TARP,20.90,19.51,14.61,4.91,6,1,0,Yes
Zone Information,PATROOM2_FLR_3,0.0,0.00,0.00,0.00,-2.29,66.29,10.67,1,1,1,-4.57,4.29E-015,62.48,70.10,8.54,12.80,4.27,148.71,TARP,TARP,34.84,52.04,38.96,13.08,6,2,0,Yes
Zone Information,PATROOM2_FLR_4,0.0,0.00,0.00,0.00,-2.29,66.29,14.94,1,1,1,-4.57,4.29E-015,62.48,70.10,12.80,17.07,4.27,148.71,TARP,TARP,34.84,52.04,38.96,13.08,6,2,0,Yes
Zone Information,PATROOM3_MULT10_FLR_3,0.0,0.00,0.00,0.00,-6.78,67.82,10.67,1,10,1,-8.99,-4.57,65.53,70.10,8.54,12.80,4.27,86.26,TARP,TARP,20.21,18.87,14.13,4.74,6,1,0,Yes
Zone Information,PATROOM3_MULT10_FLR_4,0.0,0.00,0.00,0.00,-6.78,67.82,14.94,1,10,1,-8.99,-4.57,65.53,70.10,12.80,17.07,4.27,86.26,TARP,TARP,20.21,18.87,14.13,4.74,6,1,0,Yes
Zone Information,PATROOM4_FLR_3,0.0,0.00,0.00,0.00,-51.05,66.29,10.67,1,1,1,-53.34,-48.77,62.48,70.10,8.54,12.80,4.27,148.71,TARP,TARP,34.84,52.04,38.96,13.08,6,2,0,Yes
Zone Information,PATROOM4_FLR_4,0.0,0.00,0.00,0.00,-51.05,66.29,14.94,1,1,1,-53.34,-48.77,62.48,70.10,12.80,17.07,4.27,148.71,TARP,TARP,34.84,52.04,38.96,13.08,6,2,0,Yes
Zone Information,PATROOM5_MULT10_FLR_3,0.0,0.00,0.00,0.00,-51.05,41.91,10.67,1,10,1,-53.34,-48.77,39.62,44.20,8.54,12.80,4.27,89.21,TARP,TARP,20.90,19.51,14.61,4.91,6,1,0,Yes
Zone Information,PATROOM5_MULT10_FLR_4,0.0,0.00,0.00,0.00,-51.05,41.91,14.94,1,10,1,-53.34,-48.77,39.62,44.20,12.80,17.07,4.27,89.21,TARP,TARP,20.90,19.51,14.61,4.91,6,1,0,Yes
Zone Information,PATROOM6_FLR_3,0.0,0.00,0.00,0.00,-2.29,3.05,10.67,1,1,1,-4.57,3.73E-016,0.00,6.10,8.54,12.80,4.27,118.96,TARP,TARP,27.87,45.53,34.09,11.44,6,2,0,Yes
Zone Information,PATROOM6_FLR_4,0.0,0.00,0.00,0.00,-2.29,3.05,14.94,1,1,1,-4.57,3.73E-016,0.00,6.10,12.80,17.07,4.27,118.96,TARP,TARP,27.87,45.53,34.09,11.44,6,2,0,Yes
Zone Information,PATROOM7_MULT10_FLR_3,0.0,0.00,0.00,0.00,-6.78,2.29,10.67,1,10,1,-8.99,-4.57,2.80E-016,4.57,8.54,12.80,4.27,86.26,TARP,TARP,20.21,18.87,14.13,4.74,6,1,0,Yes
Zone Information,PATROOM7_MULT10_FLR_4,0.0,0.00,0.00,0.00,-6.78,2.29,14.94,1,10,1,-8.99,-4.57,2.80E-016,4.57,12.80,17.07,4.27,86.26,TARP,TARP,20.21,18.87,14.13,4.74,6,1,0,Yes
Zone Information,PATROOM8_FLR_3,0.0,0.00,0.00,0.00,-51.05,3.05,10.67,1,1,1,-53.34,-48.77,2.99E-015,6.10,8.54,12.80,4.27,118.96,TARP,TARP,27.87,45.53,34.09,11.44,6,2,0,Yes
Zone Information,PATROOM8_FLR_4,0.0,0.00,0.00,0.00,-51.05,3.05,14.94,1,1,1,-53.34,-48.77,2.99E-015,6.10,12.80,17.07,4.27,118.96,TARP,TARP,27.87,45.53,34.09,11.44,6,2,0,Yes
Zone Information,PHYSTHERAPY_FLR_3,0.0,0.00,0.00,0.00,-31.24,50.29,10.67,1,1,1,-42.67,-19.81,39.62,60.96,8.54,12.80,4.27,2081.82,TARP,TARP,487.74,0.00,0.00,0.00,6,0,0,Yes
Zone Information,RADIOLOGY_FLR_4,0.0,0.00,0.00,0.00,-31.24,50.29,14.94,1,1,1,-42.67,-19.81,39.62,60.96,12.80,17.07,4.27,2081.82,TARP,TARP,487.74,0.00,0.00,0.00,6,0,0,Yes
