! <Zone Information>,Zone Name,North Axis {deg},Origin X-Coordinate {m},Origin Y-Coordinate {m},Origin Z-Coordinate {m},Centroid X-Coordinate {m},Centroid Y-Coordinate {m},Centroid Z-Coordinate {m},Type,Zone Multiplier,Zone List Multiplier,Minimum X {m},Maximum X {m},Minimum Y {m},Maximum Y {m},Minimum Z {m},Maximum Z {m},Ceiling Height {m},Volume {m3},Zone Inside Convection Algorithm {Simple-Detailed-CeilingDiffuser-TrombeWall},Zone Outside Convection Algorithm {Simple-Detailed-Tarp-MoWitt-DOE-2-BLAST},Floor Area {m2},Exterior Gross Wall Area {m2},Exterior Net Wall Area {m2},Exterior Window Area {m2},Number of Surfaces,Number of SubSurfaces,Number of Shading SubSurfaces,Part of Total Building Area
Zone Information,F3 SW APARTMENT,0.0,0.00,0.00,6.10,5.79,3.81,7.62,1,1,1,0.00,11.58,0.00,7.62,6.10,9.14,3.05,268.96,TARP,DOE-2,88.25,58.52,40.97,17.56,6,2,0,Yes
Zone Information,F4 CORRIDOR,0.0,0.00,7.62,9.14,23.16,8.46,10.67,1,1,1,0.00,46.33,7.62,9.30,9.14,12.19,3.05,236.69,TARP,DOE-2,77.66,10.22,7.99,2.23,12,2,0,Yes
Zone Information,F4 N1 APARTMENT,0.0,11.58,9.30,9.14,17.37,13.11,10.67,1,1,1,11.58,23.16,9.30,16.92,9.14,12.19,3.05,268.96,TARP,DOE-2,88.25,35.30,24.71,10.59,6,1,0,Yes
Zone Information,F4 N2 APARTMENT,0.0,23.16,9.30,9.14,28.95,13.11,10.67,1,1,1,23.16,34.75,9.30,16.92,9.14,12.19,3.05,268.97,TARP,DOE-2,88.25,35.30,24.71,10.59,6,1,0,Yes
Zone Information,F4 NE APARTMENT,0.0,34.75,9.30,9.14,40.54,13.11,10.67,1,1,1,34.75,46.33,9.30,16.92,9.14,12.19,3.05,268.96,TARP,DOE-2,88.25,58.52,40.97,17.56,6,2,0,Yes
Zone Information,F4 NW APARTMENT,0.0,0.00,9.30,9.14,5.79,13.11,10.67,1,1,1,0.00,11.58,9.30,16.92,9.14,12.19,3.05,268.96,TARP,DOE-2,88.25,58.52,40.97,17.56,6,2,0,Yes
Zone Information,F4 S1 APARTMENT,0.0,11.58,0.00,9.14,17.37,3.81,10.67,1,1,1,11.58,23.16,0.00,7.62,9.14,12.19,3.05,268.96,TARP,DOE-2,88.25,35.30,24.71,10.59,6,1,0,Yes
Zone Information,F4 S2 APARTMENT,0.0,23.16,0.00,9.14,28.95,3.81,10.67,1,1,1,23.16,34.75,0.00,7.62,9.14,12.19,3.05,268.97,TARP,DOE-2,88.25,35.30,24.71,10.59,6,1,0,Yes
Zone Information,F4 SE APARTMENT,0.0,34.75,0.00,9.14,40.54,3.81,10.67,1,1,1,34.75,46.33,0.00,7.62,9.14,12.19,3.05,268.96,TARP,DOE-2,88.25,58.52,40.97,17.56,6,2,0,Yes
Zone Information,F4 SW APARTMENT,0.0,0.00,0.00,9.14,5.79,3.81,10.67,1,1,1,0.00,11.58,0.00,7.62,9.14,12.19,3.05,268.96,TARP,DOE-2,88.25,58.52,40.97,17.56,6,2,0,Yes
Zone Information,F6 CORRIDOR,0.0,0.00,7.62,15.24,23.16,8.46,16.76,1,1,1,0.00,46.33,7.62,9.30,15.24,18.29,3.05,236.69,TARP,DOE-2,77.66,10.22,7.99,2.23,12,2,0,Yes
Zone Information,F6 N1 APARTMENT,0.0,11.58,9.30,15.24,17.37,13.11,16.76,1,1,1,11.58,23.16,9.30,16.92,15.24,18.29,3.05,268.96,TARP,DOE-2,88.25,35.30,24.71,10.59,6,1,0,Yes
Zone Information,F6 N2 APARTMENT,0.0,23.16,9.30,15.24,28.95,13.11,16.76,1,1,1,23.16,34.75,9.30,16.92,15.24,18.29,3.05,268.97,TARP,DOE-2,88.25,35.30,24.71,10.59,6,1,0,Yes
Zone Information,F6 NE APARTMENT,0.0,34.75,9.30,15.24,40.54,13.11,16.76,1,1,1,34.75,46.33,9.30,16.92,15.24,18.29,3.05,268.96,TARP,DOE-2,88.25,58.52,40.97,17.56,6,2,0,Yes
Zone Information,F6 NW APARTMENT,0.0,0.00,9.30,15.24,5.79,13.11,16.76,1,1,1,0.00,11.58,9.30,16.92,15.24,18.29,3.05,268.96,TARP,DOE-2,88.25,58.52,40.97,17.56,6,2,0,Yes
Zone Information,F6 S1 APARTMENT,0.0,11.58,0.00,15.24,17.37,3.81,16.76,1,1,1,11.58,23.16,0.00,7.62,15.24,18.29,3.05,268.96,TARP,DOE-2,88.25,35.30,24.71,10.59,6,1,0,Yes
Zone Information,F6 S2 APARTMENT,0.0,23.16,0.00,15.24,28.95,3.81,16.76,1,1,1,23.16,34.75,0.00,7.62,15.24,18.29,3.05,268.97,TARP,DOE-2,88.25,35.30,24.71,10.59,6,1,0,Yes
Zone Information,F6 SE APARTMENT,0.0,34.75,0.00,15.24,40.54,3.81,16.76,1,1,1,34.75,46.33,0.00,7.62,15.24,18.29,3.05,268.96,TARP,DOE-2,88.25,58.52,40.97,17.56,6,2,0,Yes
Zone Information,F6 SW APARTMENT,0.0,0.00,0.00,15.24,5.79,3.81,16.76,1,1,1,0.00,11.58,0.00,7.62,15.24,18.29,3.05,268.96,TARP,DOE-2,88.25,58.52,40.97,17.56,6,2,0,Yes
Zone Information,F7 CORRIDOR,0.0,0.00,7.62,18.29,23.16,8.46,19.81,1,1,1,0.00,46.33,7.62,9.30,18.29,21.33,3.05,236.69,TARP,DOE-2,77.66,10.22,7.99,2.23,12,2,0,Yes
Zone Information,F7 N1 APARTMENT,0.0,11.58,9.30,18.29,17.37,13.11,19.81,1,1,1,11.58,23.16,9.30,16.92,18.29,21.33,3.05,268.96,TARP,DOE-2,88.25,35.30,24.71,10.59,6,1,0,Yes
Zone Information,F7 N2 APARTMENT,0.0,23.16,9.30,18.29,28.95,13.11,19.81,1,1,1,23.16,34.75,9.30,16.92,18.29,21.33,3.05,268.97,TARP,DOE-2,88.25,35.30,24.71,10.59,6,1,0,Yes
Zone Information,F7 NE APARTMENT,0.0,34.75,9.30,18.29,40.54,13.11,19.81,1,1,1,34.75,46.33,9.30,16.92,18.29,21.33,3.05,268.96,TARP,DOE-2,88.25,58.52,40.97,17.56,6,2,0,Yes
Zone Information,F7 NW APARTMENT,0.0,0.00,9.30,18.29,5.79,13.11,19.81,1,1,1,0.00,11.58,9.30,16.92,18.29,21.33,3.05,268.96,TARP,DOE-2,88.25,58.52,40.97,17.56,6,2,0,Yes
Zone Information,F7 S1 APARTMENT,0.0,11.58,0.00,18.29,17.37,3.81,19.81,1,1,1,11.58,23.16,0.00,7.62,18.29,21.33,3.05,268.96,TARP,DOE-2,88.25,35.30,24.71,10.59,6,1,0,Yes
Zone Information,F7 S2 APARTMENT,0.0,23.16,0.00,18.29,28.95,3.81,19.81,1,1,1,23.16,34.75,0.00,7.62,18.29,21.33,3.05,268.97,TARP,DOE-2,88.25,35.30,24.71,10.59,6,1,0,Yes
Zone Information,F7 SE APARTMENT,0.0,34.75,0.00,18.29,40.54,3.81,19.81,1,1,1,34.75,46.33,0.00,7.62,18.29,21.33,3.05,268.96,TARP,DOE-2,88.25,58.52,40.97,17.56,6,2,0,Yes
Zone Information,F7 SW APARTMENT,0.0,0.00,0.00,18.29,5.79,3.81,19.81,1,1,1,0.00,11.58,0.00,7.62,18.29,21.33,3.05,268.96,TARP,DOE-2,88.25,58.52,40.97,17.56,6,2,0,Yes
Zone Information,F8 CORRIDOR,0.0,0.00,7.62,21.33,23.16,8.46,22.86,1,1,1,0.00,46.33,7.62,9.30,21.33,24.38,3.05,236.69,TARP,DOE-2,77.66,10.22,7.99,2.23,12,2,0,Yes
Zone Information,F8 N1 APARTMENT,0.0,11.58,9.30,21.33,17.37,13.11,22.86,1,1,1,11.58,23.16,9.30,16.92,21.33,24.38,3.05,268.96,TARP,DOE-2,88.25,35.30,24.71,10.59,6,1,0,Yes
Zone Information,F8 N2 APARTMENT,0.0,23.16,9.30,21.33,28.95,13.11,22.86,1,1,1,23.16,34.75,9.30,16.92,21.33,24.38,3.05,268.97,TARP,DOE-2,88.25,35.30,24.71,10.59,6,1,0,Yes
Zone Information,F8 NE APARTMENT,0.0,34.75,9.30,21.33,40.54,13.11,22.86,1,1,1,34.75,46.33,9.30,16.92,21.33,24.38,3.05,268.96,TARP,DOE-2,88.25,58.52,40.97,17.56,6,2,0,Yes
Zone Information,F8 NW APARTMENT,0.0,0.00,9.30,21.33,5.79,13.11,22.86,1,1,1,0.00,11.58,9.30,16.92,21.33,24.38,3.05,268.96,TARP,DOE-2,88.25,58.52,40.97,17.56,6,2,0,Yes
Zone Information,F8 S1 APARTMENT,0.0,11.58,0.00,21.33,17.37,3.81,22.86,1,1,1,11.58,23.16,0.00,7.62,21.33,24.38,3.05,268.96,TARP,DOE-2,88.25,35.30,24.71,10.59,6,1,0,Yes
Zone Information,F8 S2 APARTMENT,0.0,23.16,0.00,21.33,28.95,3.81,22.86,1,1,1,23.16,34.75,0.00,7.62,21.33,24.38,3.05,268.97,TARP,DOE-2,88.25,35.30,24.71,10.59,6,1,0,Yes
Zone Information,F8 SE APARTMENT,0.0,34.75,0.00,21.33,40.54,3.81,22.86,1,1,1,34.75,46.33,0.00,7.62,21.33,24.38,3.05,268.96,TARP,DOE-2,88.25,58.52,40.97,17.56,6,2,0,Yes
Zone Information,F8 SW APARTMENT,0.0,0.00,0.00,21.33,5.79,3.81,22.86,1,1,1,0.00,11.58,0.00,7.62,21.33,24.38,3.05,268.96,TARP,DOE-2,88.25,58.52,40.97,17.56,6,2,0,Yes
Zone Information,F9 CORRIDOR,0.0,0.00,7.62,24.38,23.16,8.46,25.91,1,1,1,0.00,46.33,7.62,9.30,24.38,27.43,3.05,236.69,TARP,DOE-2,77.66,10.22,7.99,2.23,12,2,0,Yes
Zone Information,F9 N1 APARTMENT,0.0,11.58,9.30,24.38,17.37,13.11,25.91,1,1,1,11.58,23.16,9.30,16.92,24.38,27.43,3.05,268.96,TARP,DOE-2,88.25,35.30,24.71,10.59,6,1,0,Yes
Zone Information,F9 N2 APARTMENT,0.0,23.16,9.30,24.38,28.95,13.11,25.91,1,1,1,23.16,34.75,9.30,16.92,24.38,27.43,3.05,268.97,TARP,DOE-2,88.25,35.30,24.71,10.59,6,1,0,Yes
Zone Information,F9 NE APARTMENT,0.0,34.75,9.30,24.38,40.54,13.11,25.91,1,1,1,34.75,46.33,9.30,16.92,24.38,27.43,3.05,268.96,TARP,DOE-2,88.25,58.52,40.97,17.56,6,2,0,Yes
Zone Information,F9 NW APARTMENT,0.0,0.00,9.30,24.38,5.79,13.11,25.91,1,1,1,0.00,11.58,9.30,16.92,24.38,27.43,3.05,268.96,TARP,DOE-2,88.25,58.52,40.97,17.56,6,2,0,Yes
Zone Information,F9 S1 APARTMENT,0.0,11.58,0.00,24.38,17.37,3.81,25.91,1,1,1,11.58,23.16,0.00,7.62,24.38,27.43,3.05,268.96,TARP,DOE-2,88.25,35.30,24.71,10.59,6,1,0,Yes
Zone Information,F9 S2 APARTMENT,0.0,23.16,0.00,24.38,28.95,3.81,25.91,1,1,1,23.16,34.75,0.00,7.62,24.38,27.43,3.05,268.97,TARP,DOE-2,88.25,35.30,24.71,10.59,6,1,0,Yes
Zone Information,F9 SE APARTMENT,0.0,34.75,0.00,24.38,40.54,3.81,25.91,1,1,1,34.75,46.33,0.00,7.62,24.38,27.43,3.05,268.96,TARP,DOE-2,88.25,58.52,40.97,17.56,6,2,0,Yes
Zone Information,F9 SW APARTMENT,0.0,0.00,0.00,24.38,5.79,3.81,25.91,1,1,1,0.00,11.58,0.00,7.62,24.38,27.43,3.05,268.96,TARP,DOE-2,88.25,58.52,40.97,17.56,6,2,0,Yes
Zone Information,G CORRIDOR,0.0,0.00,7.62,0.00,23.16,8.46,1.52,1,1,1,0.00,46.33,7.62,9.30,0.00,3.05,3.05,236.69,TARP,DOE-2,77.66,10.22,5.74,4.47,12,2,0,Yes
Zone Information,G N1 APARTMENT,0.0,11.58,9.30,0.00,17.37,13.11,1.52,1,1,1,11.58,23.16,9.30,16.92,0.00,3.05,3.05,268.96,TARP,DOE-2,88.25,35.30,24.71,10.59,6,1,0,Yes
Zone Information,G N2 APARTMENT,0.0,23.16,9.30,0.00,28.95,13.11,1.52,1,1,1,23.16,34.75,9.30,16.92,0.00,3.05,3.05,268.97,TARP,DOE-2,88.25,35.30,24.71,10.59,6,1,0,Yes
Zone Information,G NE APARTMENT,0.0,34.75,9.30,0.00,40.54,13.11,1.52,1,1,1,34.75,46.33,9.30,16.92,0.00,3.05,3.05,268.96,TARP,DOE-2,88.25,58.52,40.97,17.56,6,2,0,Yes
Zone Information,G NW APARTMENT,0.0,0.00,9.30,0.00,5.79,13.11,1.52,1,1,1,0.00,11.58,9.30,16.92,0.00,3.05,3.05,268.96,TARP,DOE-2,88.25,58.52,40.97,17.56,6,2,0,Yes
Zone Information,G S1 APARTMENT,0.0,11.58,0.00,0.00,17.37,3.81,1.52,1,1,1,11.58,23.16,0.00,7.62,0.00,3.05,3.05,268.96,TARP,DOE-2,88.25,35.30,24.71,10.59,6,1,0,Yes
Zone Information,G S2 APARTMENT,0.0,23.16,0.00,0.00,28.95,3.81,1.52,1,1,1,23.16,34.75,0.00,7.62,0.00,3.05,3.05,268.97,TARP,DOE-2,88.25,35.30,24.71,10.59,6,1,0,Yes
Zone Information,G SW APARTMENT,0.0,0.00,0.00,0.00,5.79,3.81,1.52,1,1,1,0.00,11.58,0.00,7.62,0.00,3.05,3.05,268.96,TARP,DOE-2,88.25,58.52,40.97,17.56,6,2,0,Yes
Zone Information,M CORRIDOR,0.0,0.00,7.62,12.19,23.16,8.46,13.72,1,1,1,0.00,46.33,7.62,9.30,12.19,15.24,3.05,236.69,TARP,DOE-2,77.66,10.22,7.99,2.23,12,2,0,Yes
Zone Information,M N1 APARTMENT,0.0,11.58,9.30,12.19,17.37,13.11,13.72,1,1,1,11.58,23.16,9.30,16.92,12.19,15.24,3.05,268.96,TARP,DOE-2,88.25,35.30,24.71,10.59,6,1,0,Yes
Zone Information,M N2 APARTMENT,0.0,23.16,9.30,12.19,28.95,13.11,13.72,1,1,1,23.16,34.75,9.30,16.92,12.19,15.24,3.05,268.97,TARP,DOE-2,88.25,35.30,24.71,10.59,6,1,0,Yes
Zone Information,M NE APARTMENT,0.0,34.75,9.30,12.19,40.54,13.11,13.72,1,1,1,34.75,46.33,9.30,16.92,12.19,15.24,3.05,268.96,TARP,DOE-2,88.25,58.52,40.97,17.56,6,2,0,Yes
Zone Information,M NW APARTMENT,0.0,0.00,9.30,12.19,5.79,13.11,13.72,1,1,1,0.00,11.58,9.30,16.92,12.19,15.24,3.05,268.96,TARP,DOE-2,88.25,58.52,40.97,17.56,6,2,0,Yes
Zone Information,M S1 APARTMENT,0.0,11.58,0.00,12.19,17.37,3.81,13.72,1,1,1,11.58,23.16,0.00,7.62,12.19,15.24,3.05,268.96,TARP,DOE-2,88.25,35.30,24.71,10.59,6,1,0,Yes
Zone Information,M S2 APARTMENT,0.0,23.16,0.00,12.19,28.95,3.81,13.72,1,1,1,23.16,34.75,0.00,7.62,12.19,15.24,3.05,268.97,TARP,DOE-2,88.25,35.30,24.71,10.59,6,1,0,Yes
Zone Information,M SE APARTMENT,0.0,34.75,0.00,12.19,40.54,3.81,13.72,1,1,1,34.75,46.33,0.00,7.62,12.19,15.24,3.05,268.96,TARP,DOE-2,88.25,58.52,40.97,17.56,6,2,0,Yes
Zone Information,M SW APARTMENT,0.0,0.00,0.00,12.19,5.79,3.81,13.72,1,1,1,0.00,11.58,0.00,7.62,12.19,15.24,3.05,268.96,TARP,DOE-2,88.25,58.52,40.97,17.56,6,2,0,Yes
Zone Information,OFFICE,0.0,34.75,0.00,0.00,40.54,3.81,1.52,1,1,1,34.75,46.33,0.00,7.62,0.00,3.05,3.05,268.96,TARP,DOE-2,88.25,58.52,40.97,17.56,6,2,0,Yes
Zone Information,T CORRIDOR,0.0,0.00,7.62,27.43,23.16,8.46,28.95,1,1,1,0.00,46.33,7.62,9.30,27.43,30.48,3.05,236.69,TARP,DOE-2,77.66,10.22,7.99,2.23,12,2,0,Yes
Zone Information,T N1 APARTMENT,0.0,11.58,9.30,27.43,17.37,13.11,28.95,1,1,1,11.58,23.16,9.30,16.92,27.43,30.48,3.05,268.96,TARP,DOE-2,88.25,35.30,24.71,10.59,6,1,0,Yes
Zone Information,T N2 APARTMENT,0.0,23.16,9.30,27.43,28.95,13.11,28.95,1,1,1,23.16,34.75,9.30,16.92,27.43,30.48,3.05,268.97,TARP,DOE-2,88.25,35.30,24.71,10.59,6,1,0,Yes
Zone Information,T NE APARTMENT,0.0,34.75,9.30,27.43,40.54,13.11,28.95,1,1,1,34.75,46.33,9.30,16.92,27.43,30.48,3.05,268.96,TARP,DOE-2,88.25,58.52,40.97,17.56,6,2,0,Yes
Zone Information,T NW APARTMENT,0.0,0.00,9.30,27.43,5.79,13.11,28.95,1,1,1,0.00,11.58,9.30,16.92,27.43,30.48,3.05,268.96,TARP,DOE-2,88.25,58.52,40.97,17.56,6,2,0,Yes
Zone Information,T S1 APARTMENT,0.0,11.58,0.00,27.43,17.37,3.81,28.95,1,1,1,11.58,23.16,0.00,7.62,27.43,30.48,3.05,268.96,TARP,DOE-2,88.25,35.30,24.71,10.59,6,1,0,Yes
Zone Information,T S2 APARTMENT,0.0,23.16,0.00,27.43,28.95,3.81,28.95,1,1,1,23.16,34.75,0.00,7.62,27.43,30.48,3.05,268.97,TARP,DOE-2,88.25,35.30,24.71,10.59,6,1,0,Yes
Zone Information,T SE APARTMENT,0.0,34.75,0.00,27.43,40.54,3.81,28.95,1,1,1,34.75,46.33,0.00,7.62,27.43,30.48,3.05,268.96,TARP,DOE-2,88.25,58.52,40.97,17.56,6,2,0,Yes
Zone Information,T SW APARTMENT,0.0,0.00,0.00,27.43,5.79,3.81,28.95,1,1,1,0.00,11.58,0.00,7.62,27.43,30.48,3.05,268.96,TARP,DOE-2,88.25,58.52,40.97,17.56,6,2,0,Yes
