! <Zone Information>,Zone Name,North Axis {deg},Origin X-Coordinate {m},Origin Y-Coordinate {m},Origin Z-Coordinate {m},Centroid X-Coordinate {m},Centroid Y-Coordinate {m},Centroid Z-Coordinate {m},Type,Zone Multiplier,Zone List Multiplier,Minimum X {m},Maximum X {m},Minimum Y {m},Maximum Y {m},Minimum Z {m},Maximum Z {m},Ceiling Height {m},Volume {m3},Zone Inside Convection Algorithm {Simple-Detailed-CeilingDiffuser-TrombeWall},Zone Outside Convection Algorithm {Simple-Detailed-Tarp-MoWitt-DOE-2-BLAST},Floor Area {m2},Exterior Gross Wall Area {m2},Exterior Net Wall Area {m2},Exterior Window Area {m2},Number of Surfaces,Number of SubSurfaces,Number of Shading SubSurfaces,Part of Total Building Area
Zone Information,GUESTROOM313,0.0,0.00,0.00,0.00,-50.49,-4.16,7.47,1,1,1,-52.47,-48.51,-8.28,-4.88E-002,6.10,8.84,2.74,89.46,TARP,TARP,32.61,10.87,9.22,1.65,6,1,0,Yes
Zone Information,GUESTROOM314,0.0,0.00,0.00,0.00,-50.49,-14.22,7.47,1,1,1,-52.47,-48.51,-18.34,-10.11,6.10,8.84,2.74,89.45,TARP,TARP,32.61,10.87,9.22,1.65,6,1,0,Yes
Zone Information,GUESTROOM315_318,0.0,0.00,0.00,0.00,-40.59,-14.22,7.47,1,1,1,-48.51,-32.66,-18.34,-10.11,6.10,8.84,2.74,357.81,TARP,TARP,130.44,43.48,36.90,6.58,6,4,0,Yes
Zone Information,GUESTROOM319,0.0,0.00,0.00,0.00,-30.68,-14.22,7.47,1,1,1,-32.66,-28.70,-18.34,-10.11,6.10,8.84,2.74,89.45,TARP,TARP,32.61,10.87,9.22,1.65,6,1,0,Yes
Zone Information,GUESTROOM320_323,0.0,0.00,0.00,0.00,-15.90,-14.22,7.47,1,1,1,-23.82,-7.97,-18.34,-10.11,6.10,8.84,2.74,357.81,TARP,TARP,130.44,43.48,36.90,6.58,6,4,0,Yes
Zone Information,GUESTROOM324,0.0,0.00,0.00,0.00,-5.99,-14.22,7.47,1,1,1,-7.97,-4.01,-18.34,-10.11,6.10,8.84,2.74,89.45,TARP,TARP,32.61,10.87,9.22,1.65,6,1,0,Yes
Zone Information,GUESTROOM401,0.0,0.00,0.00,0.00,-2.03,-4.16,10.21,1,1,1,-4.01,-4.87E-002,-8.28,-4.88E-002,8.84,11.58,2.74,89.46,TARP,TARP,32.61,33.45,31.80,1.65,6,1,0,Yes
Zone Information,GUESTROOM402_405,0.0,0.00,0.00,0.00,-11.94,-4.16,10.21,1,1,1,-19.86,-4.01,-8.28,-4.88E-002,8.84,11.58,2.74,357.84,TARP,TARP,130.45,43.48,36.90,6.58,6,4,0,Yes
Zone Information,GUESTROOM406_408,0.0,0.00,0.00,0.00,-26.26,-4.16,10.21,1,1,1,-32.66,-19.86,-8.28,-4.88E-002,8.84,11.58,2.74,289.02,TARP,TARP,105.36,35.12,28.42,6.70,6,3,0,Yes
Zone Information,GUESTROOM409_412,0.0,0.00,0.00,0.00,-40.59,-4.16,10.21,1,1,1,-48.51,-32.66,-8.28,-4.88E-002,8.84,11.58,2.74,357.84,TARP,TARP,130.45,43.48,36.90,6.58,6,4,0,Yes
Zone Information,GUESTROOM413,0.0,0.00,0.00,0.00,-50.49,-4.16,10.21,1,1,1,-52.47,-48.51,-8.28,-4.88E-002,8.84,11.58,2.74,89.46,TARP,TARP,32.61,10.87,9.22,1.65,6,1,0,Yes
Zone Information,GUESTROOM414,0.0,0.00,0.00,0.00,-50.49,-14.22,10.21,1,1,1,-52.47,-48.51,-18.34,-10.11,8.84,11.58,2.74,89.45,TARP,TARP,32.61,10.87,9.22,1.65,6,1,0,Yes
Zone Information,GUESTROOM415_418,0.0,0.00,0.00,0.00,-40.59,-14.22,10.21,1,1,1,-48.51,-32.66,-18.34,-10.11,8.84,11.58,2.74,357.81,TARP,TARP,130.44,43.48,36.90,6.58,6,4,0,Yes
Zone Information,GUESTROOM419,0.0,0.00,0.00,0.00,-30.68,-14.22,10.21,1,1,1,-32.66,-28.70,-18.34,-10.11,8.84,11.58,2.74,89.45,TARP,TARP,32.61,10.87,9.22,1.65,6,1,0,Yes
Zone Information,GUESTROOM420_423,0.0,0.00,0.00,0.00,-15.90,-14.22,10.21,1,1,1,-23.82,-7.97,-18.34,-10.11,8.84,11.58,2.74,357.81,TARP,TARP,130.44,43.48,36.90,6.58,6,4,0,Yes
Zone Information,GUESTROOM424,0.0,0.00,0.00,0.00,-5.99,-14.22,10.21,1,1,1,-7.97,-4.01,-18.34,-10.11,8.84,11.58,2.74,89.45,TARP,TARP,32.61,10.87,9.22,1.65,6,1,0,Yes
Zone Information,LAUNDRYROOMFLR1,0.0,0.00,0.00,0.00,-34.64,-14.22,1.68,1,1,1,-40.59,-28.70,-18.34,-10.11,0.00,3.35,3.35,327.99,TARP,TARP,97.83,39.86,34.92,4.94,7,3,0,Yes
Zone Information,MECHANICALROOMFLR1,0.0,0.00,0.00,0.00,-38.61,-4.16,1.68,1,1,1,-40.59,-36.62,-8.28,-4.88E-002,0.00,3.35,3.35,109.34,TARP,TARP,32.61,13.29,13.29,0.00,6,0,0,Yes
Zone Information,MEETINGROOMFLR1,0.0,0.00,0.00,0.00,-31.75,-4.16,1.68,1,1,1,-36.62,-26.87,-8.28,-4.88E-002,0.00,3.35,3.35,269.14,TARP,TARP,80.27,32.70,27.77,4.94,7,3,0,Yes
Zone Information,REARSTAIRSFLR1,0.0,0.00,0.00,0.00,-53.69,-14.22,1.68,1,1,1,-54.91,-52.47,-18.34,-10.11,0.00,3.35,3.35,67.30,TARP,TARP,20.07,35.77,33.82,0.00,6,1,0,Yes
Zone Information,REARSTAIRSFLR2,0.0,0.00,0.00,0.00,-53.69,-14.22,4.72,1,1,1,-54.91,-52.47,-18.34,-10.11,3.35,6.10,2.74,55.06,TARP,TARP,20.07,29.27,29.27,0.00,6,0,0,Yes
Zone Information,REARSTAIRSFLR3,0.0,0.00,0.00,0.00,-53.69,-14.22,7.47,1,1,1,-54.91,-52.47,-18.34,-10.11,6.10,8.84,2.74,55.06,TARP,TARP,20.07,29.27,29.27,0.00,6,0,0,Yes
Zone Information,REARSTAIRSFLR4,0.0,0.00,0.00,0.00,-53.69,-14.22,10.21,1,1,1,-54.91,-52.47,-18.34,-10.11,8.84,11.58,2.74,55.06,TARP,TARP,20.07,29.27,29.27,0.00,6,0,0,Yes
Zone Information,REARSTORAGEFLR1,0.0,0.00,0.00,0.00,-53.69,-4.16,1.68,1,1,1,-54.91,-52.47,-8.28,-4.88E-002,0.00,3.35,3.35,67.30,TARP,TARP,20.07,35.77,35.77,0.00,6,0,0,Yes
Zone Information,REARSTORAGEFLR2,0.0,0.00,0.00,0.00,-53.69,-4.16,4.72,1,1,1,-54.91,-52.47,-8.28,-4.88E-002,3.35,6.10,2.74,55.07,TARP,TARP,20.07,29.27,29.27,0.00,6,0,0,Yes
Zone Information,REARSTORAGEFLR3,0.0,0.00,0.00,0.00,-53.69,-4.16,7.47,1,1,1,-54.91,-52.47,-8.28,-4.88E-002,6.10,8.84,2.74,55.07,TARP,TARP,20.07,29.27,29.27,0.00,6,0,0,Yes
Zone Information,REARSTORAGEFLR4,0.0,0.00,0.00,0.00,-53.69,-4.16,10.21,1,1,1,-54.91,-52.47,-8.28,-4.88E-002,8.84,11.58,2.74,55.07,TARP,TARP,20.07,29.27,29.27,0.00,6,0,0,Yes
Zone Information,RESTROOMFLR1,0.0,0.00,0.00,0.00,-21.84,-4.16,1.68,1,1,1,-23.82,-19.86,-8.28,-4.88E-002,0.00,3.35,3.35,109.34,TARP,TARP,32.61,13.29,13.29,0.00,6,0,0,Yes
